trade_date,ticker,sector,rating,multiplier,close_adj,close_raw,fcap,weight_in_sector,target_weight
2026-08-12,VIB,Banks - Private,AV,1.00000000,14800.00000000,14800,27708606473100,0.02907578,0.00920447
2026-08-12,EIB,Banks - Private,AV,1.00000000,18200.00000000,18200,27121211894400,0.02845941,0.00900934
2026-08-12,GEX,Industrial,AV,1.00000000,26150.00000000,26150,23951568154700,0.78008708,0.00795642
2026-08-12,VRE,Real Estate - Commercial,AV,1.00000000,25450.00000000,25450,23132201310200,0.77601814,0.00768424
2026-08-12,TPB,Banks - Private,AV,1.00000000,14700.00000000,14700,22428168988550,0.02353480,0.00745037
2026-08-12,VPL,Travel & Leisure,AV,1.00000000,78400.00000000,78400,21089212669200,0.38023366,0.00700558
2026-08-12,NAB,Banks - Private,AV,1.00000000,11900.00000000,11900,20551988080400,0.02156605,0.00682712
2026-08-12,HCM,Financial Services,AV,1.00000000,26150.00000000,26150,19415595960700,0.09560041,0.00644963
2026-08-12,VND,Financial Services,AV,1.00000000,16800.00000000,16800,19180978795500,0.09444518,0.00637169
2026-08-12,VCI,Financial Services,AV,1.00000000,22050.00000000,22050,19055035462500,0.09382505,0.00632985
2026-08-12,VCK,Financial Services,AV,1.00000000,30800.00000000,30800,18748881874000,0.09231758,0.00622815
2026-08-12,NVL,Real Estate - Residential,AV,1.00000000,13550.00000000,13550,17901411513575,0.02288865,0.00594663
2026-08-12,BID,Banks - State,AV,1.00000000,36738.00000000,39250,17144553467350,0.08068649,0.00569522
2026-08-12,KBC,Real Estate - Industrial,AV,1.00000000,28000.00000000,28000,17139936500500,0.69876432,0.00569368
2026-08-12,TCX,Financial Services,AV,1.00000000,40500.00000000,40500,16854804030000,0.08299133,0.00559896
2026-08-12,PNJ,Consumer Retail,AV,1.00000000,35050.00000000,35050,16142269053800,0.13727588,0.00536227
2026-08-12,FRT,Consumer Retail,AV,1.00000000,148000.00000000,148000,14555545764500,0.12378219,0.00483518
2026-08-12,KDH,Real Estate - Residential,AV,1.00000000,18150.00000000,18150,13239330182250,0.01692774,0.00439795
2026-08-12,SBT,Food - Agriculture,AV,1.00000000,21600.00000000,21600,11747138859600,0.27962639,0.00390226
2026-08-12,DXG,Real Estate - Residential,AV,1.00000000,11150.00000000,11150,11311496310300,0.01446282,0.00375754
2026-08-12,SJS,Real Estate - Residential,AV,1.00000000,47350.00000000,47350,11268346298600,0.01440765,0.00374321
2026-08-12,BSR,Oil & Gas,AV,1.00000000,26500.00000000,26500,10615475196600,0.44329808,0.00352633
2026-08-12,REE,Utilities,AV,1.00000000,47150.00000000,47150,10279391153900,0.31115623,0.00341469
2026-08-12,OCB,Banks - Private,AV,1.00000000,10950.00000000,10950,10060345774950,0.01055674,0.00334193
2026-08-12,VPX,Financial Services,AV,1.00000000,25750.00000000,25750,9656250000000,0.04754639,0.00320769
