ticker,exchange,icb_l2,in_index,is_pick,open_adj,high_adj,low_adj,close_adj,open_raw,high_raw,low_raw,close_raw,volume,value,market_cap,free_float,free_float_ratio,outstanding_shares
SJS,HOSE,REAL_ESTATE_L2,1,0,47000,47350,46500,47350,47000,47350,46500,47350,127330,5979875000,14085433110000,237979860,0.8,297474830
SSB,HOSE,BANKS_L2,1,0,15450,15500,15200,15200,15450,15500,15200,15200,1889342,28989799650,52117760000000,1885840000,0.55,3428800000
SSI,HOSE,FINANCIAL_SERVICES_L2,1,0,20222.29,20382.15,19982.5,19982.5,25300,25500,25000,25000,28059936,707286340000,62527443800000,1750768430,0.7,2501097750
STB,HOSE,BANKS_L2,1,0,74700,74800,73100,73100,74700,74800,73100,73100,2355513,173544173000,137809268840000,1790954930,0.95,1885215720
TAL,HOSE,REAL_ESTATE_L2,1,0,24800,25000,24000,24700,24800,25000,24000,24700,171120,4210447000,12448792790000,151199910,0.3,503999710
TCB,HOSE,BANKS_L2,1,0,31500,32100,31300,31700,31500,32100,31300,31700,33936722,1079901251150,224633821120000,3897432230,0.55,7086240410
TCH,HOSE,REAL_ESTATE_L2,1,0,12300,12400,11800,11800,12300,12400,11800,11800,5555131,67029353550,10762888840000,547265530,0.6,912109220
TCX,HOSE,FINANCIAL_SERVICES_L2,1,0,40800,40800,40000,40000,40800,40800,40000,40000,1892476,76553020050,110978133000000,416168000,0.15,2774453320
TPB,HOSE,BANKS_L2,1,0,14700,14800,14450,14450,14700,14800,14450,14450,6513096,95412269700,40084977310000,1525725780,0.55,2774046870
VCB,HOSE,BANKS_L2,1,0,59900,60500,59100,59500,59900,60500,59100,59500,4594350,274867622300,497162668090000,919124260,0.11,8355675090
VCG,HOSE,CONSTRUCTION_AND_MATERIALS_L2,1,0,16300,16300,15800,15800,16300,16300,15800,15800,2355596,37608057600,11031184670000,383996930,0.55,698176240
VCI,HOSE,FINANCIAL_SERVICES_L2,1,0,22300,22400,21600,21600,22300,22400,21600,21600,10356397,228133600200,24888209580000,864173940,0.75,1152231920
VCK,HOSE,FINANCIAL_SERVICES_L2,1,0,30700,30900,29500,29500,30700,30900,29500,29500,3333692,100597516850,71830131270000,608729930,0.25,2434919700
VGC,HOSE,CONSTRUCTION_AND_MATERIALS_L2,1,0,41000,41150,40550,40600,41000,41150,40550,40600,342388,14000297500,18203010000000,53802000,0.12,448350000
VHC,HOSE,FOOD_AND_BEVERAGE_L2,1,0,53800,55700,53800,54100,53800,55700,53800,54100,1294898,70742968800,11331415900000,83781260,0.4,209453160
VHM,HOSE,REAL_ESTATE_L2,1,0,74000,74000,71800,71800,74000,74000,71800,71800,7812315,565831238500,589824363770000,2464447200,0.3,8214824010
VIB,HOSE,BANKS_L2,1,0,14850,14900,14550,14550,14850,14900,14550,14550,5423241,79650894100,49528283080000,1872203140,0.55,3404005710
VIC,HOSE,REAL_ESTATE_L2,1,0,215000,215600,207500,207900,215000,215600,207500,207900,5549675,1174696098100,1613758558590000,2328655930,0.3,7762186430
VIX,HOSE,FINANCIAL_SERVICES_L2,1,0,14350,14450,13850,13900,14350,14450,13850,13900,55311866,781445920700,34059000030000,2450287770,1,2450287770
VJC,HOSE,TRAVEL_AND_LEISURE_L2,1,0,127900,127900,124800,124900,127900,127900,124800,124900,1566324,198085986900,96059710830000,269182540,0.35,769092960
VND,HOSE,FINANCIAL_SERVICES_L2,1,0,16850,17150,16550,16550,16850,17150,16550,16550,14229715,240207878000,25194063480000,1141724930,0.75,1522299910
VNM,HOSE,FOOD_AND_BEVERAGE_L2,1,0,61800,63000,61500,61600,61800,63000,61500,61600,4265810,265881350400,128741255410000,835982180,0.4,2089955440
VPB,HOSE,BANKS_L2,1,0,25750,25800,25200,25350,25750,25800,25200,25350,13846588,353761611350,201124963290000,4363657980,0.55,7933923600
VPI,HOSE,REAL_ESTATE_L2,1,0,59500,60900,59000,60700,59500,60900,59000,60700,3638078,217850035200,19427009320000,160024790,0.5,320049580
VPL,HOSE,TRAVEL_AND_LEISURE_L2,1,0,78900,78900,77000,77000,78900,78900,77000,77000,521660,40571697700,138084129030000,268995060,0.15,1793300380
VPX,HOSE,FINANCIAL_SERVICES_L2,1,0,25900,25900,25250,25300,25900,25900,25250,25300,928525,23679490850,47437500000000,375000000,0.2,1875000000
VRE,HOSE,REAL_ESTATE_L2,1,0,25500,25600,24600,24600,25500,25600,24600,24600,6802298,169986922850,55899032890000,908927360,0.4,2272318410
VSC,HOSE,INDUSTRIAL_GOODS_AND_SERVICES_L2,1,0,14900,14950,14300,14350,14900,14950,14300,14350,11665002,170528205450,5372214690000,355651840,0.95,374370360
VTP,HOSE,INDUSTRIAL_GOODS_AND_SERVICES_L2,1,0,55000,56700,53800,54100,55000,56700,53800,54100,710462,38821767200,10921987750000,80754070,0.4,201885170
